filename,total_pixels,valid_pixels,sample_time_iso
3DIMG_18JUN2024_2000_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T20:00:00
3DIMG_18JUN2024_2000_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T20:00:00
3DIMG_18JUN2024_2030_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T20:30:00
3DIMG_18JUN2024_2030_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T05:13:26.415799
3DIMG_18JUN2024_2030_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T20:30:00
3DIMG_18JUN2024_2100_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T21:00:00
3DIMG_18JUN2024_2100_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T21:00:00
3DIMG_18JUN2024_2130_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T21:30:00
3DIMG_18JUN2024_2130_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T05:17:30.480527
3DIMG_18JUN2024_2130_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T21:30:00
3DIMG_18JUN2024_2200_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T22:00:00
3DIMG_18JUN2024_2200_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T05:15:33.207290
3DIMG_18JUN2024_2200_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T22:00:00
3DIMG_18JUN2024_2200_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T22:00:00
3DIMG_18JUN2024_2230_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T22:30:00
3DIMG_18JUN2024_2230_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T05:17:35.671265
3DIMG_18JUN2024_2230_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T22:30:00
3DIMG_18JUN2024_2230_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T22:30:00
3DIMG_18JUN2024_2300_L2B_CMK_V01R00.h5,7898880,5761417,2024-06-18T23:00:00
3DIMG_18JUN2024_2300_L2B_CTP_V01R00.h5,97656,97656,2024-06-19T05:26:39.324278
3DIMG_18JUN2024_2300_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T23:00:00
3DIMG_18JUN2024_2300_L2B_IMC_V01R00.h5,7898880,5761417,2024-06-18T23:00:00
3DIMG_18JUN2024_2330_L2B_HEM_V01R00.h5,7898880,5761417,2024-06-18T23:30:00
